A8-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,CURRENT PHASE REVERSAL,,NORMAL,ALARM,YES,453,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,MOTOR TEMPERATURE SENSOR FAULT,,NORMAL,ALARM,YES,453,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,FAULT,O4,NORMAL,ALARM,YES,459,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ALARM,CB FAULT,I8,NORMAL,ALARM,YES,459,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,LOAD TRPED,O3,NORMAL,TR,YES,459,14,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,GROUND CURRENT FAULT,,NORMAL,TR,YES,452,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,CURRENT PHASE IMBALANCE,,NORMAL,TR,YES,452,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,UNDERCURRENT FAULT,,NORMAL,TR,YES,452,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,OVERCURRENT,,NORMAL,TR,YES,453,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,ESD TR,I9,NORMAL,TR,YES,459,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,TR,GENERAL TR,,NORMAL,TR,YES,455,4,UNIT16,3,,,,256,8,A8-1.TR,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE CURRENT - L1,,,,YES,502-503,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE CURRENT - L2,,,,YES,504-505,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE CURRENT - L3,,,,YES,506-507,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,GROUND CURRENT,,,,YES,508-509,,UINT32,3,0,4294967295,mA,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE VOLTAGE - L12,,,,YES,477,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE VOLTAGE - L23,,,,YES,478,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,PHASE VOLTAGE - L31,,,,YES,479,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,ACTIVE POWER,,,,YES,482,,UINT16,3,0,65535,0.1kW,16000,,A8-1.I,MOTOR HEATER FOR 62-MG-211A-ACH31,,3,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,REACTIVE POWER,,,,YES,483,,UINT16,3,0,65535,0.1kVAR,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,POWER FACTOR,,,,YES,481,,UINT16,3,0,65535,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,MEASURMENT,FREQUENCY,,,,YES,474,,UINT16,3,0,65535,0.01Hz,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ENERGY,ACTIVE ENERGY,,,,YES,143-144,,UINT32,3,0,4294967295,0.1kWh,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,ENERGY,REACTIVE ENERGY,,,,YES,145-146,,UINT32,3,0,4294967295,0.1kVARh,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,LOAD OPERATING TIME,,,,YES,513,,INT16U,3,0,65536,1,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,LOAD CLOSING COUNT,,,,YES,124-125,,UINT32,3,0,4294967295,1,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,PHASE-1 TRPING CURRENT,,,,YES,302-303,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,PHASE-2 TRPING CURRENT,,,,YES,304-305,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,PHASE-3 TRPING CURRENT,,,,YES,306-307,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,DIAGNOSTICS,GROUND TRPING CURRENT,,,,YES,308-309,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,SPARE,SPARE,I2,,,,459,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,400V,A8-1,SPARE,SPARE,I10,,,,459,9,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,SYSTEM,A8-1,SIS1A,TESYS COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS1A,,,,
1,063-9700-MCC-50564,TESYST LTMR,MOTOR HEATER FOR 62-MG-211A-ACH3,63-9700-P-6470,SYSTEM,A8-1,SIS1B,TESYS COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS1B,,,,
"
"
A8-2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,CONTROL,START,O1,,START,YES,1301,0,UINT16,3,,,,123,0,A8-2.START.CMD,,99,5,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,CONTROL,STOP,O1,,STOP,YES,1301,2,UINT16,3,,,,123,0,A8-2.STOP.CMD,,99,5,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,CONTROL,RESET FAULTS,,,RESET,YES,1301,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,CB DRAWN IN,I3,OUT,IN,YES,459,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,CB HEALTHY,I4,FAULTY,HEALTHY,YES,459,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,READY TO START,,NO READY,READY,YES,1302,0,UINT16,3,,,,257,1,A8-2.AVAILABLE,,102,1,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,LOCAL PANEL CONTROL,I5,REMOTE,LOCAL,YES,459,4,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,AUTO / REMOTE MODE,I6,LOCAL,REMOTE,YES,459,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,LOCAL START,I1,,START,YES,459,0,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,CONTACTOR STATUS,I7,OPEN,CLOSE,YES,459,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,LOAD RUNNING,,STOPPED,RUNNING,YES,455,1,UNIT16,3,,,,257,0,A8-2.MOTOR.RUNNIG,,101,1,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,SYSTEM ON,,,ON,YES,455,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,SYSTEM FAULT,,,FAULTY,YES,455,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,STATUS,SYSTEM WARNING,,,WARNING,YES,455,3,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,GROUND CURRENT WARNING,,NORMAL,ALARM,YES,461,2,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,CURRENT PHASE IMBALANCE WARNING,,NORMAL,ALARM,YES,461,6,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,UNDERCURRENT WARNING,,NORMAL,ALARM,YES,461,7,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,OVERCURRENT WARNING,,NORMAL,ALARM,YES,462,3,UNIT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,CURRENT PHASE REVERSAL,,NORMAL,ALARM,YES,453,5,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,MOTOR TEMPERATURE SENSOR FAULT,,NORMAL,ALARM,YES,453,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,FAULT,O4,NORMAL,ALARM,YES,459,15,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ALARM,CB FAULT,I8,NORMAL,ALARM,YES,459,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,LOAD TRPED,O3,NORMAL,TR,YES,459,14,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,GROUND CURRENT FAULT,,NORMAL,TR,YES,452,2,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,CURRENT PHASE IMBALANCE,,NORMAL,TR,YES,452,6,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,UNDERCURRENT FAULT,,NORMAL,TR,YES,452,7,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,OVERCURRENT,,NORMAL,TR,YES,453,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,ESD TR,I9,NORMAL,TR,YES,459,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,TR,GENERAL TR,,NORMAL,TR,YES,455,4,UNIT16,3,,,,257,8,A8-2.TR,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE CURRENT - L1,,,,YES,502-503,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE CURRENT - L2,,,,YES,504-505,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE CURRENT - L3,,,,YES,506-507,,UINT32,3,0,4294967295,0.01A,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,GROUND CURRENT,,,,YES,508-509,,UINT32,3,0,4294967295,mA,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE VOLTAGE - L12,,,,YES,477,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE VOLTAGE - L23,,,,YES,478,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,PHASE VOLTAGE - L31,,,,YES,479,,UINT16,3,0,65535,V,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,ACTIVE POWER,,,,YES,482,,UINT16,3,0,65535,0.1kW,16001,,A8-2.I,COOLER FAN FOR 62-MEA-2131,,3,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,REACTIVE POWER,,,,YES,483,,UINT16,3,0,65535,0.1kVAR,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,POWER FACTOR,,,,YES,481,,UINT16,3,0,65535,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,MEASURMENT,FREQUENCY,,,,YES,474,,UINT16,3,0,65535,0.01Hz,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ENERGY,ACTIVE ENERGY,,,,YES,143-144,,UINT32,3,0,4294967295,0.1kWh,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,ENERGY,REACTIVE ENERGY,,,,YES,145-146,,UINT32,3,0,4294967295,0.1kVARh,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,LOAD OPERATING TIME,,,,YES,513,,INT16U,3,0,65536,1,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,LOAD CLOSING COUNT,,,,YES,124-125,,UINT32,3,0,4294967295,1,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,PHASE-1 TRPING CURRENT,,,,YES,302-303,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,PHASE-2 TRPING CURRENT,,,,YES,304-305,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,PHASE-3 TRPING CURRENT,,,,YES,306-307,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,DIAGNOSTICS,GROUND TRPING CURRENT,,,,YES,308-309,,UINT32,3,0,4294967295,0.01,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,SPARE,SPARE,I2,,,,459,1,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,400V,A8-2,SPARE,SPARE,I10,,,,459,9,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,SYSTEM,A8-2,SIS1A,TESYS COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS1A,,,,
1,063-9700-MCC-50564,TESYST LTMR,COOLER FAN FOR 62-MEA-213,63-9700-P-6470,SYSTEM,A8-2,SIS1B,TESYS COMM LINK,,DISCONNECTED,CONNECTED,YES,INTERNAL INFO,,BIT,,,,,,,COMM.LINK.SIS1B,,,,
"
"
A8-3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
#REV,SWITCH BOARD TAG,EQUMENT,PROCESS NAME,SCHEMA TYPE,VOLTAGE LEVEL,BAYNAME,MODULE,ECS SYSTEM TAG,CHANNEL NO.,STATE-0,STATE-1,ARCHIVE STATUS,MODBUS / IEC IED ADDRESS,BIT NO.,DATA FORMAT,FUNCTION CODE,MIN,MAX,SCALING,GATEWAY MODBUS REGISTER,GATEWAY MODBUS BIT,PLC TAG,PLC REGISTER ADDRESS,PLC COIL ADDRESS,PLC FUNCTION CODE,REMARK
1,063-9700-MCC-50564,NSX,SPARE (FREE) _ IFM module,TYPE 2,400V,A8-3,STATUS,CB STATUS,,OPEN,CLOSE,YES,12001,0,UINT16,3,,,,256,0,A8-3.CB.STATUS,,107,1,
1,063-9700-MCC-50564,NSX,SPARE (FREE) _ IFM module,TYPE 2,400V,A8-3,STATUS,SPRING CHARGED,,NORMAL,ALARM,YES,12001,3,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,SPARE (FREE) _ IFM module,TYPE 2,400V,A8-3,STATUS,CB DRAWN OUT,,,OUT,YES,15331,8,UINT16,3,,,,,,,,,,
1,063-9700-MCC-50564,NSX,SPARE (FREE) _ IFM module,TYPE 2,400V,A8-3,STATUS,CB DRAWN IN,,,IN,YES,15331,9,UINT16,3,,,,256,2,A8-3.CB.RACKIN,,108,1,
1,063-9700-MCC-50564,NSX,SPARE (FREE) _ IFM module,TYPE 2,400V,A8-3,STATUS,TEST POSITION,,,TEST,YES,15331,10,UINT16,3,,,,,,,,,,
